                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7352,                 2.9101,                 2.0149,                0.56216,                0.61305,                0.65928,                 0.3169,                 1.7914,                 1.4355,                 1.5629,               0.070306,              0.0032993,              0.0032993
                      2,                 1.8559,                 1.4394,                 1.3837,                0.89692,                0.84409,                0.89193,                0.43527,                 1.6702,                 1.0841,                 1.3689,                0.04024,               0.006567,               0.006567
                      3,                 1.8234,                 1.2709,                 1.3302,                0.73161,                0.79316,                0.88981,                0.40918,                 1.7371,                 1.1713,                 1.4661,               0.010109,              0.0097687,              0.0097687
                      4,                 1.7925,                 1.1057,                 1.3229,                0.87829,                0.90437,                0.92556,                0.46269,                 1.6692,                0.93429,                 1.4474,               0.009703,               0.009703,               0.009703
                      5,                 1.7248,                 1.0174,                 1.2991,                0.87098,                0.91691,                0.93507,                0.49139,                 1.6058,                0.81507,                 1.3912,               0.009604,               0.009604,               0.009604
                      6,                 1.7266,                0.98091,                  1.295,                0.87266,                0.84053,                0.91401,                0.47587,                 1.5638,                 0.8647,                 1.4014,               0.009505,               0.009505,               0.009505
                      7,                  1.678,                0.92422,                 1.2883,                0.89536,                0.93108,                0.93875,                0.51523,                 1.5004,                0.76899,                 1.3515,               0.009406,               0.009406,               0.009406
                      8,                 1.6508,                0.90415,                  1.262,                0.88484,                0.90763,                0.93124,                0.48464,                 1.5651,                0.78991,                 1.3628,               0.009307,               0.009307,               0.009307
                      9,                 1.6337,                0.87597,                 1.2557,                0.91797,                0.92642,                0.95422,                0.52037,                 1.5392,                0.73365,                 1.3652,               0.009208,               0.009208,               0.009208
                     10,                 1.6188,                0.86157,                 1.2519,                0.92286,                0.95628,                0.95811,                0.49783,                 1.5739,                0.70584,                 1.3622,               0.009109,               0.009109,               0.009109
                     11,                 1.5969,                0.84107,                 1.2398,                0.92413,                0.93194,                0.94829,                0.52499,                 1.5234,                0.70897,                 1.3402,                0.00901,                0.00901,                0.00901
                     12,                 1.5878,                0.81828,                 1.2308,                0.94105,                0.94967,                0.96788,                0.54715,                 1.4965,                0.67113,                 1.3341,               0.008911,               0.008911,               0.008911
                     13,                 1.5622,                0.81048,                 1.2264,                0.92958,                0.94917,                 0.9665,                0.55471,                 1.4641,                0.67284,                 1.3513,               0.008812,               0.008812,               0.008812
                     14,                 1.5413,                0.79391,                  1.221,                 0.9402,                0.94278,                0.95518,                0.53949,                 1.4945,                0.68047,                 1.3702,               0.008713,               0.008713,               0.008713
                     15,                 1.5469,                0.77911,                 1.2267,                0.94361,                 0.9546,                0.96953,                0.55853,                 1.4649,                0.66918,                 1.3534,               0.008614,               0.008614,               0.008614
                     16,                 1.5287,                0.76914,                 1.2255,                0.93787,                0.92447,                0.96278,                0.54818,                 1.4667,                0.68058,                 1.3349,               0.008515,               0.008515,               0.008515
                     17,                 1.4997,                0.74327,                 1.1986,                0.95977,                0.94882,                0.97366,                0.56016,                 1.4643,                0.61647,                 1.3079,               0.008416,               0.008416,               0.008416
                     18,                 1.4845,                0.74149,                 1.1968,                0.94786,                0.95226,                0.97312,                0.54692,                 1.4938,                 0.6246,                 1.3444,               0.008317,               0.008317,               0.008317
                     19,                 1.4633,                0.72314,                 1.1859,                0.95148,                 0.9524,                0.97336,                0.57158,                 1.4254,                0.59883,                 1.3101,               0.008218,               0.008218,               0.008218
                     20,                 1.4615,                0.72333,                 1.1878,                0.94948,                 0.9412,                0.97026,                0.57339,                 1.4317,                0.60895,                 1.3333,               0.008119,               0.008119,               0.008119
                     21,                 1.4379,                0.71162,                 1.1705,                0.95435,                0.94673,                0.96972,                0.55937,                 1.4532,                 0.6339,                 1.3235,                0.00802,                0.00802,                0.00802
                     22,                 1.4205,                0.70087,                 1.1726,                0.94856,                0.94677,                0.96785,                0.55095,                 1.4591,                0.63788,                 1.3488,               0.007921,               0.007921,               0.007921
                     23,                 1.4054,                0.68787,                 1.1571,                0.93985,                0.94359,                 0.9601,                0.55621,                 1.4607,                  0.607,                 1.3345,               0.007822,               0.007822,               0.007822
                     24,                 1.3941,                0.67906,                 1.1575,                0.97044,                0.95318,                0.97878,                0.56323,                  1.446,                 0.5908,                 1.3098,               0.007723,               0.007723,               0.007723
                     25,                 1.3885,                0.67729,                 1.1471,                0.94432,                0.96876,                0.97331,                0.55323,                 1.4764,                 0.5757,                 1.3102,               0.007624,               0.007624,               0.007624
                     26,                 1.3679,                0.66379,                 1.1408,                0.95777,                0.94515,                0.97296,                0.56091,                 1.4529,                0.59638,                 1.3273,               0.007525,               0.007525,               0.007525
